TIMEPOINT,G2,G4,G6,G3,G8,G11,G5,G7,G12,G9,G10,G1
1,250,0,120,0,200,0,120,150,0,0,28,0
2,250,0,200,0,20,0,220,134,0,0,0,0
3,250,0,191,0,20,0,300,25,0,0,0,0
4,250,0,175,0,0,0,300,25,0,0,0,0
5,250,0,166,0,0,0,300,25,0,0,0,0
6,250,0,165,0,0,0,300,25,0,0,0,0
7,250,0,175,0,0,0,300,25,0,0,0,0
8,250,0,178,0,0,0,300,25,0,0,0,0
9,250,0,200,0,0,0,300,29,0,0,0,0
10,250,0,200,0,0,0,300,69,0,0,0,0
11,250,0,200,0,0,0,300,94,0,0,0,0
12,250,0,200,0,0,0,300,103,0,0,0,0
13,250,0,200,0,0,0,300,113,0,0,0,0
14,250,0,200,0,0,0,300,113,0,0,0,0
15,250,0,200,0,0,0,300,103,0,0,0,0
16,250,0,200,0,0,0,300,90,0,0,0,0
17,250,0,200,0,0,0,300,77,0,0,0,0
18,250,0,200,0,0,0,300,63,0,0,0,0
19,250,0,200,0,0,0,300,65,0,0,0,0
20,250,0,200,0,0,0,300,76,0,0,0,0
21,250,0,200,0,0,0,300,134,0,0,0,0
22,250,0,200,0,0,0,300,126,0,0,0,0
23,250,0,200,0,0,0,300,100,0,0,0,0
24,250,0,200,0,0,0,300,66,0,0,0,0
