TIMEPOINT,N-C,S-N,C-S
1,0.333333333333,-0.666666666667,0.333333333333
2,0.0,0.0,0.0
3,0.333333333333,-0.666666666667,0.333333333333
4,0.0,0.0,0.0
5,0.666666666667,-0.333333333333,-0.333333333333
6,0.666666666667,-0.333333333333,-0.333333333333
7,0.333333333333,-0.666666666667,0.333333333333
8,0.333333333333,-0.666666666667,0.333333333333
9,0.333333333333,-0.666666666667,0.333333333333
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.333333333333,-0.666666666667,0.333333333333
14,0.0,0.0,0.0
15,-8.0,4.0,4.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.333333333333,-0.666666666667,0.333333333333
21,0.0,0.0,0.0
22,0.333333333333,-0.666666666667,0.333333333333
23,0.666666666667,-0.333333333333,-0.333333333333
24,0.0,0.0,0.0
