TIMEPOINT,C,N,S
1,-0.00333333333333,0.0,-0.00666666666667
2,0.0,0.0,0.0
3,-0.00333333333333,0.0,-0.00666666666667
4,0.0,0.0,0.0
5,-0.00666666666667,0.0,-0.00333333333333
6,-0.00666666666667,0.0,-0.00333333333333
7,-0.00333333333333,0.0,-0.00666666666667
8,-0.00333333333333,0.0,-0.00666666666667
9,-0.00333333333333,0.0,-0.00666666666667
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,-0.00333333333333,0.0,-0.00666666666667
14,0.0,0.0,0.0
15,0.08,0.0,0.04
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,-0.00333333333333,0.0,-0.00666666666667
21,0.0,0.0,0.0
22,-0.00333333333333,0.0,-0.00666666666667
23,-0.00666666666667,0.0,-0.00333333333333
24,0.0,0.0,0.0
