CenManINum,CenManFOpe,CenManFecIni,CenManFecFin,CenManFTip,CenManNom,CenBar,CenPotMax,CenTurRen,CenDisEne,CenFacCol,CenConPro%,SisRegPot
1,T,SemMay04-2018,SemAgo01-2018,F,Alfalfal,*,101.2742857,*,*,*,*,*
2,T,SemAgo01-2018,SemAgo04-2018,F,Alto Renaico,*,0.321428571,*,*,*,*,*
3,T,SemMar04-2018,SemMar04-2018,F,Blanco,*,30.22857143,*,*,*,*,*
4,T,SemMay04-2018,SemJun01-2018,F,Blanco,*,15.11428571,*,*,*,*,*
5,T,SemSep04-2018,SemOct03-2018,F,Blanco,*,3.778571429,*,*,*,*,*
6,T,SemMar04-2019,SemMar04-2019,F,Blanco,*,30.22857143,*,*,*,*,*
7,T,SemMar02-2018,SemMar02-2018,F,Capullo,*,6.742857143,*,*,*,*,*
8,T,SemDic01-2018,SemDic01-2018,F,Capullo,*,6.742857143,*,*,*,*,*
9,T,SemMar02-2019,SemMar02-2019,F,Capullo,*,6.742857143,*,*,*,*,*
10,T,SemAgo04-2018,SemAgo04-2018,F,Carena,*,2.4,*,*,*,*,*
11,T,SemAgo01-2018,SemAgo03-2018,F,Carena,*,0.4,*,*,*,*,*
12,T,SemAbr04-2018,SemMay01-2018,F,Chacabuquito,*,20.15428571,*,*,*,*,*
13,T,SemMay04-2018,SemJun01-2018,F,Chacabuquito,*,20.15428571,*,*,*,*,*
14,T,SemJul01-2018,SemJul02-2018,F,Chacabuquito,*,21.06857143,*,*,*,*,*
15,T,SemJul03-2018,SemJul04-2018,F,Chacabuquito,*,21.06857143,*,*,*,*,*
16,T,SemSep01-2018,SemSep03-2018,F,Chacabuquito,*,1.259047619,*,*,*,*,*
17,T,SemSep04-2018,SemSep04-2018,F,Chacabuquito,*,11.01142857,*,*,*,*,*
18,T,SemOct01-2018,SemOct01-2018,F,Chacabuquito,*,20.15428571,*,*,*,*,*
19,T,SemNov02-2018,SemDic01-2018,F,Chacabuquito,*,20.38285714,*,*,*,*,*
20,T,SemMar03-2018,SemMar03-2018,F,Chacayes,*,55.7,*,*,*,*,*
21,T,SemMar04-2018,SemAbr03-2018,F,Chacayes,*,55.7,*,*,*,*,*
22,T,SemAbr04-2018,SemAbr04-2018,F,Chacayes,*,79.78571429,*,*,*,*,*
23,T,SemSep04-2018,SemSep04-2018,F,Chacayes,*,95.7,*,*,*,*,*
24,T,SemNov02-2018,SemNov02-2018,F,Chacayes,*,95.7,*,*,*,*,*
25,T,SemMar01-2019,SemAbr02-2019,F,Chacayes,*,62.36666667,*,*,*,*,*
26,T,SemMar02-2018,SemMar02-2018,F,Coya,*,0,*,*,*,*,*
27,T,SemSep01-2018,SemSep01-2018,F,Coya,*,8.571428571,*,*,*,*,*
