CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,*,Andes_TG,CenCosVar,EtaMes,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162
2,F,2018,2018,*,Andes_TG,CenCosVar,EtaMes,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162,378.162,422.133,422.133,422.133
3,F,2019,2019,*,Andes_TG,CenCosVar,EtaMes,422.133,422.133,422.133,422.133,422.133,422.133,422.133,422.133,422.133,448.791,448.791,448.791
4,F,2020,2020,*,Andes_TG,CenCosVar,EtaMes,448.791,448.791,448.791,448.791,448.791,448.791,448.791,448.791,448.791,468.768,468.768,468.768
5,F,2021,2021,*,Andes_TG,CenCosVar,EtaMes,468.768,468.768,468.768,468.768,468.768,468.768,468.768,468.768,468.768,484.154,484.154,484.154
6,F,2022,2022,*,Andes_TG,CenCosVar,EtaMes,484.154,484.154,484.154,484.154,484.154,484.154,484.154,484.154,484.154,493.558,493.558,493.558
7,F,2023,2023,*,Andes_TG,CenCosVar,EtaMes,493.558,493.558,493.558,493.558,493.558,493.558,493.558,493.558,493.558,502.181,502.181,502.181
8,F,2024,2024,*,Andes_TG,CenCosVar,EtaMes,502.181,502.181,502.181,502.181,502.181,502.181,502.181,502.181,502.181,517.267,517.267,517.267
9,F,2025,2025,*,Andes_TG,CenCosVar,EtaMes,517.267,517.267,517.267,517.267,517.267,517.267,517.267,517.267,517.267,531.192,531.192,531.192
10,F,2026,2026,*,Andes_TG,CenCosVar,EtaMes,531.192,531.192,531.192,531.192,531.192,531.192,531.192,531.192,531.192,539.851,539.851,539.851
11,F,2027,2027,*,Andes_TG,CenCosVar,EtaMes,539.851,539.851,539.851,539.851,539.851,539.851,539.851,539.851,539.851,543.928,543.928,543.928
12,F,2028,2028,*,Andes_TG,CenCosVar,EtaMes,543.928,543.928,543.928,543.928,543.928,543.928,543.928,543.928,543.928,552.295,552.295,552.295
13,F,2029,2029,*,Andes_TG,CenCosVar,EtaMes,552.295,552.295,552.295,552.295,552.295,552.295,552.295,552.295,552.295,567.009,567.009,567.009
