CenINum,CenAñoFRlt,CenAñoIni,CenAñoFin,CenIBlo,CenNom,CenDatTip,CenEtaTip,SemAbr01,SemAbr02,SemAbr03,SemAbr04,SemMay01,SemMay02,SemMay03,SemMay04,SemJun01,SemJun02,SemJun03,SemJun04,SemJul01,SemJul02,SemJul03,SemJul04,SemAgo01,SemAgo02,SemAgo03,SemAgo04,SemSep01,SemSep02,SemSep03,SemSep04,SemOct01,SemOct02,SemOct03,SemOct04,SemNov01,SemNov02,SemNov03,SemNov04,SemDic01,SemDic02,SemDic03,SemDic04,SemEne01,SemEne02,SemEne03,SemEne04,SemFeb01,SemFeb02,SemFeb03,SemFeb04,SemMar01,SemMar02,SemMar03,SemMar04
1,F,2017,2017,*,Candelaria CA 01 Diesel,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674,124.674
2,F,2017,2017,*,Candelaria CA 01 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,F,2017,2017,*,Candelaria CA 02 Diesel,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917,127.917
4,F,2017,2017,*,Candelaria CA 02 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,F,2017,2017,*,Candelaria CC GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,F,2017,2017,*,Colmito Diesel,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71,57.71
7,F,2017,2017,*,Colmito GNL ,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,F,2017,2017,*,Colmito GNL TP,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,F,2017,2017,*,Cordillera 01,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10,F,2017,2017,*,Cordillera 02,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
11,F,2017,2017,*,Cordillera 03,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,F,2017,2017,*,Nehuenco 01 Diesel,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,310,310,310,310,310,310,190.262,100.458,100.458,109.298,110.561,110.561,110.561,110.561,110.561,110.561,110.561,110.561
13,F,2017,2017,*,Nehuenco 01 FA GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,F,2017,2017,*,Nehuenco 01 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,F,2017,2017,*,Nehuenco 01 GNL CP,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.346,229.855,229.855,220.157,218.772,218.772,218.772,218.772,218.772,218.772,218.772,218.772
16,F,2017,2017,*,Nehuenco 02 Diesel,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.739,383.218,391,391,391,391,249.452,46.244,0,0,0,0,0,0,0,0,0,0,0
17,F,2017,2017,*,Nehuenco 02 GNL,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,F,2017,2017,*,Nehuenco 02 GNL CP,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366.769,7.647,0,0,0,0,139.087,338.76,384.2,384.2,384.2,384.2,384.2,384.2,384.2,384.2,384.2,384.2,384.2
19,F,2017,2017,*,Nehuenco 9B 01 Diesel,CenPotMax,EtaSem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
