CenManINum,CenManFOpe,CenManFecIni,CenManFecFin,CenManIBlo,CenManFTip,CenManNom,CenBar,CenPotMax,CenPotMin,CenCosVar,CenRenTer,CenCosOpe,CenDisEne,CenFacCol,CenConPro%
1,T,SemAbr02-2018,SemAbr02-2018,*,F,Antilhue TG 01,*,43.32795143,*,*,*,*,*,*,*
2,T,SemMay01-2018,SemMay02-2018,*,F,Antilhue TG 01,*,15.44223714,*,*,*,*,*,*,*
3,T,SemJun03-2018,SemJun03-2018,*,F,Antilhue TG 01,*,29.38509429,*,*,*,*,*,*,*
4,T,SemOct03-2018,SemOct03-2018,*,F,Antilhue TG 01,*,29.38509429,*,*,*,*,*,*,*
5,T,SemNov01-2018,SemNov02-2018,*,F,Antilhue TG 01,*,15.44223714,*,*,*,*,*,*,*
6,T,SemMay01-2019,SemMay02-2019,*,F,Antilhue TG 01,*,15.44223714,*,*,*,*,*,*,*
7,T,SemJun03-2019,SemJun03-2019,*,F,Antilhue TG 01,*,29.38509429,*,*,*,*,*,*,*
8,T,SemEne03-2018,SemEne04-2018,*,F,Antilhue TG 02,*,16.13397714,*,*,*,*,*,*,*
9,T,SemMay03-2018,SemMay04-2018,*,F,Antilhue TG 02,*,16.13397714,*,*,*,*,*,*,*
10,T,SemJun03-2018,SemJun03-2018,*,F,Antilhue TG 02,*,30.07683429,*,*,*,*,*,*,*
11,T,SemOct03-2018,SemOct03-2018,*,F,Antilhue TG 02,*,30.07683429,*,*,*,*,*,*,*
12,T,SemNov02-2018,SemNov03-2018,*,F,Antilhue TG 02,*,16.13397714,*,*,*,*,*,*,*
13,T,SemMay03-2019,SemMay04-2019,*,F,Antilhue TG 02,*,16.13397714,*,*,*,*,*,*,*
14,T,SemJun03-2019,SemJun03-2019,*,F,Antilhue TG 02,*,30.07683429,*,*,*,*,*,*,*
15,T,SemOct01-2018,SemOct03-2018,*,F,Arauco 01,*,2.857142857,*,*,*,*,*,*,*
16,T,SemNov04-2018,SemDic01-2018,*,F,Arauco 01,*,4.857142857,*,*,*,*,*,*,*
17,T,SemEne02-2018,SemEne04-2018,*,F,Campiche,*,17.5471616,*,*,*,*,*,*,*
18,T,SemFeb01-2018,SemFeb01-2018,*,F,Campiche,*,17.5471616,*,*,*,*,*,*,*
19,T,SemEne04-2018,SemFeb02-2018,*,F,Candelaria CA 01 GNL,*,5.936833333,*,*,*,*,*,*,*
20,T,SemMar04-2018,SemMar04-2018,*,F,Candelaria CA 01 GNL,*,17.8105,*,*,*,*,*,*,*
21,T,SemAbr01-2018,SemAbr01-2018,*,F,Candelaria CA 01 GNL,*,17.8105,*,*,*,*,*,*,*
22,T,SemEne04-2018,SemFeb02-2018,*,F,Candelaria CA 02 GNL,*,6.091295238,*,*,*,*,*,*,*
23,T,SemMar04-2018,SemMar04-2018,*,F,Candelaria CA 02 GNL,*,20.5172,*,*,*,*,*,*,*
24,T,SemAbr01-2018,SemAbr01-2018,*,F,Candelaria CA 02 GNL,*,18.27388571,*,*,*,*,*,*,*
25,T,SemOct02-2018,SemOct03-2018,*,F,Cardones,*,0,*,*,*,*,*,*,*
26,T,SemEne01-2018,SemEne01-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
27,T,SemEne02-2018,SemEne02-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
28,T,SemEne03-2018,SemEne03-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
29,T,SemEne04-2018,SemEne04-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
30,T,SemFeb01-2018,SemFeb01-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
31,T,SemFeb02-2018,SemFeb02-2018,*,F,Chiloé,*,8.571428571,*,*,*,*,*,*,*
32,T,SemMar03-2018,SemMar04-2018,*,F,cholguan 00,*,2.571428571,*,*,*,*,*,*,*
33,T,SemMar03-2018,SemMar04-2018,*,F,cholguan 01,*,1.142857143,*,*,*,*,*,*,*
34,T,SemMar03-2018,SemAbr01-2018,*,F,CMPC Santa Fe,*,13.44857143,*,*,*,*,*,*,*
35,T,SemOct04-2018,SemNov02-2018,*,F,CMPC Santa Fe,*,13.44857143,*,*,*,*,*,*,*
36,T,SemMar01-2018,SemMar01-2018,*,F,CMPC Tissue,*,1.714285714,*,*,*,*,*,*,*
37,T,SemOct03-2018,SemOct03-2018,*,F,CMPC Tissue,*,1.142857143,*,*,*,*,*,*,*
38,T,SemOct03-2018,SemOct04-2018,*,F,Coelemu,*,0.841451429,*,*,*,*,*,*,*
39,T,SemEne01-2018,SemEne01-2018,*,F,Colihues,*,6.80625,*,*,*,*,*,*,*
40,T,SemFeb04-2018,SemFeb04-2018,*,F,Colihues,*,9.68,*,*,*,*,*,*,*
41,T,SemMay03-2018,SemMay04-2018,*,F,Colihues,*,9.68,*,*,*,*,*,*,*
42,T,SemSep02-2018,SemSep02-2018,*,F,Colihues,*,9.68,*,*,*,*,*,*,*
43,T,SemSep03-2018,SemSep03-2018,*,F,Colihues,*,12.55375,*,*,*,*,*,*,*
44,T,SemNov03-2018,SemNov04-2018,*,F,Colmito Diesel,*,2.61,*,*,*,*,*,*,*
45,T,SemNov03-2018,SemNov04-2018,*,F,Colmito GNL ,*,2.61,*,*,*,*,*,*,*
46,T,SemNov03-2018,SemNov04-2018,*,F,Colmito GNL TP,*,2.61,*,*,*,*,*,*,*
47,T,SemFeb04-2018,SemMar01-2018,*,F,Constitucion,*,1.5,*,*,*,*,*,*,*
48,T,SemEne02-2018,SemEne02-2018,*,F,Cordillera 01,*,2.857142857,*,*,*,*,*,*,*
49,T,SemOct01-2018,SemOct01-2018,*,F,Cordillera 01,*,0.571428571,*,*,*,*,*,*,*
50,T,SemEne02-2018,SemEne02-2018,*,F,Cordillera 02,*,5.714285714,*,*,*,*,*,*,*
51,T,SemEne02-2018,SemEne02-2018,*,F,Cordillera 03,*,8.571428571,*,*,*,*,*,*,*
52,T,SemJun04-2018,SemJul01-2018,*,F,Degañ,*,16.45714286,*,*,*,*,*,*,*
53,T,SemNov02-2018,SemNov03-2018,*,F,Degañ,*,14.01428571,*,*,*,*,*,*,*
54,T,SemFeb02-2019,SemFeb03-2019,*,F,Diego de Almagro TG,*,8.026242857,*,*,*,*,*,*,*
55,T,SemMar03-2018,SemMar03-2018,*,F,El Arrayán,*,49.28078571,*,*,*,*,*,*,*
56,T,SemNov02-2018,SemDic02-2018,*,F,Energía Pacífico,*,3.5052,*,*,*,*,*,*,*
57,T,SemMar02-2018,SemMar03-2018,*,F,Eólica Lebu,*,0.465045714,*,*,*,*,*,*,*
58,T,SemEne02-2018,SemEne02-2018,*,F,Escuadron 01,*,4.548126463,*,*,*,*,*,*,*
59,T,SemEne01-2018,SemEne01-2018,*,F,Esperanza 01,*,5.854857143,*,*,*,*,*,*,*
60,T,SemEne01-2018,SemEne01-2018,*,F,Esperanza 02,*,0.455352381,*,*,*,*,*,*,*
61,T,SemEne01-2018,SemEne01-2018,*,F,Esperanza 03,*,0.569571429,*,*,*,*,*,*,*
62,T,SemFeb02-2018,SemFeb02-2018,*,F,Espinos 01,*,87.14285714,*,*,*,*,*,*,*
63,T,SemJun03-2018,SemJun03-2018,*,F,Espinos 01,*,74.28571429,*,*,*,*,*,*,*
64,T,SemSep01-2018,SemSep01-2018,*,F,Espinos 01,*,61.42857143,*,*,*,*,*,*,*
65,T,SemNov02-2018,SemNov02-2018,*,F,Espinos 01,*,74.28571429,*,*,*,*,*,*,*
66,T,SemNov03-2018,SemNov03-2018,*,F,Espinos 01,*,87.14285714,*,*,*,*,*,*,*
67,T,SemFeb02-2018,SemFeb02-2018,*,F,Espinos 02,*,13.71428571,*,*,*,*,*,*,*
68,T,SemJun03-2018,SemJun03-2018,*,F,Espinos 02,*,17.14285714,*,*,*,*,*,*,*
69,T,SemSep01-2018,SemSep01-2018,*,F,Espinos 02,*,13.71428571,*,*,*,*,*,*,*
70,T,SemNov02-2018,SemNov02-2018,*,F,Espinos 02,*,17.14285714,*,*,*,*,*,*,*
71,T,SemNov03-2018,SemNov03-2018,*,F,Espinos 02,*,20.57142857,*,*,*,*,*,*,*
72,T,SemFeb04-2018,SemMar01-2018,*,F,Guacolda 01,*,65.22975272,*,*,*,*,*,*,*
73,T,SemJun02-2018,SemJun03-2018,*,F,Guacolda 03,*,60.35379069,*,*,*,*,*,*,*
74,T,SemEne02-2019,SemEne04-2019,*,F,Guacolda 03,*,9.186984476,*,*,*,*,*,*,*
75,T,SemEne02-2018,SemFeb01-2018,*,F,Guacolda 04,*,26.1719454,*,*,*,*,*,*,*
76,T,SemJul03-2018,SemAgo02-2018,*,F,Guacolda 05,*,26.42948629,*,*,*,*,*,*,*
77,T,SemMay01-2018,SemMay02-2018,*,F,Horcones TG Diesel,*,5.207142857,*,*,*,*,*,*,*
78,T,SemAgo02-2018,SemAgo02-2018,*,F,Huasco TG,*,25.281,*,*,*,*,*,*,*
79,T,SemAgo03-2018,SemAgo03-2018,*,F,Huasco TG,*,30.681,*,*,*,*,*,*,*
80,T,SemMay01-2018,SemMay01-2018,*,F,Laja 01,*,5.655,*,*,*,*,*,*,*
81,T,SemNov03-2018,SemNov04-2018,*,F,Laja 01,*,2.262,*,*,*,*,*,*,*
82,T,SemMay01-2018,SemMay01-2018,*,F,Laja 02,*,2.535,*,*,*,*,*,*,*
83,T,SemNov03-2018,SemNov04-2018,*,F,Laja 02,*,1.014,*,*,*,*,*,*,*
