DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndSisGbl,DemIndSisPri,DemIndSisSec,DemIndSisCmr,DemIndIBlo,DemIndEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
1,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,0,0,0,0,0,0,0,0,0,1.025574096,1.029269534,1.012493537
2,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,0,0,0,0,0,0,0,0,0,1.037839419,1.032023631,1.02647523
3,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,0,0,0,0,0,0,0,0,0,1.021531899,1.028854668,1.012893014
4,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,0,0,0,0,0,0,0,0,0,1.043575205,1.032588457,1.024781848
5,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,0,0,0,0,0,0,0,0,0,0.983014882,1.019282316,1.010814008
6,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,0,0,0,0,0,0,0,0,0,1.040026709,1.009427551,1.006012632
7,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,0,0,0,0,0,0,0,0,0,0.927646448,0.977042171,0.988528844
8,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0,0,0,0,0,0,0,0,0,0.997418435,0.974834632,0.974201828
9,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,0,0,0,0,0,0,0,0,0,0.931968948,0.99653595,0.999504651
10,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0,0,0,0,0,0,0,0,0,0.978425864,0.954983297,0.956611893
11,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,0,0,0,0,0,0,0,0,0,0.964058378,1.013116428,0.999948077
12,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0,0,0,0,0,0,0,0,0,0.982487555,0.977459321,0.966399667
13,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,0,0,0,0,0,0,0,0,0,0.97611706,1.01377869,1.024528859
14,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0,0,0,0,0,0,0,0,0,0.989964691,0.980056607,0.978870175
15,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,0,0,0,0,0,0,0,0,0,1.031385422,1.058655196,1.046272492
16,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0,0,0,0,0,0,0,0,0,1.035640434,1.032806165,1.027759403
17,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066684366,1.053481788,1.02695725,1.058974149,1.03206657,1.078706528,1.01668924,1.0498419,1.129593336,1.025574387,1.029269141,1.01249509
18,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015907278,0.985165813,1.025674917,1.004404942,1.009493153,0.978463334,1.026105653,1.028297384,0.965747517,1.037840281,1.032023221,1.026475743
19,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.051415935,1.038961939,1.029242878,1.057324241,1.047219551,1.090331359,1.030942145,1.031526445,1.121981775,1.021530483,1.028855454,1.012892619
20,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046821737,1.026974543,1.032048621,1.020255844,1.034109059,1.030606013,1.022053973,1.023440556,0.958268942,1.043575272,1.032588714,1.024781682
21,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.025402282,1.026899234,1.014055962,1.021861478,1.024921229,1.042329655,1.011247425,0.991207817,1.09560846,0.983019041,1.019283082,1.010807814
22,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026889252,0.993685582,1.003447485,0.997766109,1.015783521,1.015972585,1.00690708,1.016526241,0.959747043,1.040026746,1.009426525,1.006010761
23,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008970858,1.036570266,1.001231615,1.006933801,0.992333009,1.027025875,0.986749953,0.969555563,1.076189117,0.927651262,0.977043779,0.988530216
24,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.972355471,0.96850818,0.955978626,0.967711214,0.966244707,0.963752695,0.966841239,0.961225879,0.919309407,0.997416869,0.974835047,0.974202744
25,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034693763,1.050587844,1.003711132,1.01782205,0.997137391,1.053960382,0.995409184,0.995587519,1.089066299,0.931967647,0.996535917,0.999503069
