DemIndNum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndTasa,DemIndFPot,DemIndEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,Agua Santa 110,0,F,EtaMes,12.30122668,12.06216331,11.34959259,12.58735394,12.23604362,12.84848613,13.18314161,13.22689611,15.81015043,14.83351527,13.95650973,14.23604475
2,F,2018,2018,Agua Santa 110,0,F,EtaMes,12.80003426,12.46137245,11.68369226,12.99453658,12.60148465,13.37148923,13.63612713,13.6448865,16.44642829,15.61022323,14.73332093,15.00299108
3,F,2019,2019,Agua Santa 110,0,F,EtaMes,13.53048203,13.05539892,12.1603398,13.56487957,13.12317375,14.06393589,14.2594681,14.23393763,17.30800524,15.84848124,14.95763109,15.22671214
4,F,2020,2020,Agua Santa 110,0,F,EtaMes,13.72750986,13.25215198,12.34999753,13.77861632,13.33012712,14.29759965,14.4960544,14.47322157,17.60402535,16.05543797,15.15111552,15.4162709
5,F,2021,2021,Agua Santa 110,0,F,EtaMes,13.89226845,13.41936003,12.51279135,13.96110052,13.5081706,14.49643892,14.70069989,14.68249019,17.85808947,16.26979519,15.35281467,15.61518234
6,F,2022,2022,Agua Santa 110,0,F,EtaMes,14.06561476,13.59400852,12.68166207,14.14952808,13.69159194,14.70116351,14.90957046,14.89667009,18.11866866,16.44219062,15.51572693,15.77550455
7,F,2023,2023,Agua Santa 110,0,F,EtaMes,14.20470628,13.73467038,12.81842318,14.30307368,13.84051068,14.87208341,15.08219574,15.0738667,18.33793591,16.6030118,15.6676704,15.92417258
8,F,2024,2024,Agua Santa 110,0,F,EtaMes,14.3332072,13.86498639,12.94541541,14.44570828,13.97895287,15.03177001,15.24363622,15.24003,18.54357307,16.98930594,16.02680243,16.26803012
9,F,2025,2025,Agua Santa 110,0,F,EtaMes,14.63043993,14.16408913,13.23798194,14.76708222,14.29702265,15.37255481,15.60075832,15.60874802,18.97715604,17.42073596,16.4305822,16.66986754
10,F,2026,2026,Agua Santa 110,0,F,EtaMes,14.98288421,14.51811881,13.57797075,15.14189653,14.66384748,15.76260862,16.00449902,16.02251004,19.46614629,17.81388562,16.79687265,17.03313014
11,F,2027,2027,Agua Santa 110,0,F,EtaMes,15.29894028,14.84031437,13.89025948,15.48365277,15.00005931,16.11392064,16.37217838,16.4023609,19.90704122,18.18545984,17.14313942,17.37576713
12,F,2028,2028,Agua Santa 110,0,F,EtaMes,15.5963636,15.14403549,14.18473739,15.80486283,15.31648783,16.44305246,16.71727377,16.76025946,20.32024533,18.55516853,17.48730765,17.71581482
13,F,2029,2029,Agua Santa 110,0,F,EtaMes,15.89081451,15.44579529,14.47778154,16.123598,15.63102617,16.76810114,17.05931569,17.11607819,20.728433,18.41780413,17.35692658,17.56909193
14,F,2030,2030,Agua Santa 110,0,F,EtaMes,15.74819685,15.3128552,14.34846277,15.94578147,15.47160181,16.52740531,16.83671568,16.92349507,20.41668519,18.19506591,17.14522785,17.33981046
15,F,2031,*,Agua Santa 110,0,F,EtaMes,15.52989068,15.1082867,14.15120184,15.68587155,15.23515114,16.18785251,16.51870738,16.64002963,19.97898506,18.31880601,17.25809148,17.44299008
16,F,2017,2017,Alto Jahuel 110,0,F,EtaMes,27.98059902,28.77583512,26.91895395,28.79648278,29.15692779,28.1039927,28.99757117,29.01706299,28.91468767,32.62279453,33.01014235,34.97588937
17,F,2018,2018,Alto Jahuel 110,0,F,EtaMes,30.91552709,31.79607364,29.82921011,31.86235954,32.4361842,31.25002332,32.1052855,32.03861978,32.01146919,34.69928349,35.08876245,37.07912995
18,F,2019,2019,Alto Jahuel 110,0,F,EtaMes,32.15860776,33.0683068,30.95924506,33.11889206,33.74901481,32.59701495,33.32254566,33.2422336,33.18736147,35.45456364,35.84575204,37.86594989
19,F,2020,2020,Alto Jahuel 110,0,F,EtaMes,32.87179216,33.80281758,31.63084511,33.83878936,34.44576301,33.26911642,34.02777831,33.94470755,33.87513755,35.87527113,36.29250578,38.35615241
