DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegTasa,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,Agua Santa 110,0,EtaMes,0.0455624,0.045913339,0.044947415,0.046118589,0.046610207,0.047562749,0.047019123,0.044594304,0.044202538,0.046865302,0.045651896,0.04546219
2,F,2018,2018,Agua Santa 110,0,EtaMes,0.047532894,0.047711585,0.046737699,0.048491466,0.049073714,0.050266676,0.049568065,0.046944308,0.046289203,0.048343484,0.04702354,0.046219257
3,F,2019,2019,Agua Santa 110,0,EtaMes,0.048163458,0.047955631,0.046945785,0.048143429,0.04886108,0.050300215,0.049545389,0.046837692,0.046273875,0.048460578,0.047138978,0.046314455
4,F,2020,2020,Agua Santa 110,0,EtaMes,0.048281186,0.048092008,0.047085418,0.048295661,0.049002515,0.050434541,0.049666127,0.046945669,0.046365485,0.048463997,0.047149282,0.046300036
5,F,2021,2021,Agua Santa 110,0,EtaMes,0.048276572,0.048098237,0.047089576,0.04831099,0.049010316,0.050441079,0.04966343,0.046936084,0.046345503,0.048364661,0.047047714,0.046212942
6,F,2022,2022,Agua Santa 110,0,EtaMes,0.048174684,0.047996433,0.04698164,0.048199622,0.048904721,0.05033097,0.049565005,0.046846035,0.046252459,0.048249968,0.04693219,0.046111117
7,F,2023,2023,Agua Santa 110,0,EtaMes,0.04805459,0.047875091,0.046852111,0.048067585,0.048778586,0.050201368,0.04944845,0.046740014,0.04614508,0.048113964,0.04679554,0.045987686
8,F,2024,2024,Agua Santa 110,0,EtaMes,0.0479108,0.047729801,0.046698761,0.047911224,0.048627768,0.05004699,0.049308524,0.046612825,0.046017282,0.048018642,0.046699735,0.045901889
9,F,2025,2025,Agua Santa 110,0,EtaMes,0.047809396,0.047626758,0.046589239,0.047799601,0.048520329,0.049937572,0.049210395,0.046524361,0.045928514,0.047926078,0.046607566,0.045817076
10,F,2026,2026,Agua Santa 110,0,EtaMes,0.047711341,0.047527122,0.046484966,0.047692982,0.048416737,0.049832142,0.049113503,0.046436042,0.045841397,0.047822019,0.046504225,0.045721221
11,F,2027,2027,Agua Santa 110,0,EtaMes,0.047601817,0.047416008,0.04636935,0.047574577,0.048301183,0.049714464,0.049004478,0.046336554,0.045743344,0.047716122,0.046399014,0.045623264
12,F,2028,2028,Agua Santa 110,0,EtaMes,0.047490283,0.0473029,0.04625188,0.047454408,0.048183653,0.049594818,0.048893468,0.04623527,0.045643482,0.047607969,0.046291576,0.045522902
13,F,2029,2029,Agua Santa 110,0,EtaMes,0.047376265,0.047187366,0.046132118,0.04733191,0.048063618,0.049472646,0.048780013,0.046131782,0.045541463,0.047500772,0.046185071,0.045423101
14,F,2030,2030,Agua Santa 110,0,EtaMes,0.047263075,0.047072722,0.046013416,0.047210568,0.047944506,0.049351518,0.048667601,0.04602931,0.045440329,0.047406939,0.04609172,0.045335553
15,F,2031,*,Agua Santa 110,0,EtaMes,0.047163241,0.046971506,0.045908235,0.047103228,0.047839233,0.049244792,0.048569344,0.04594006,0.045351936,0.047300623,0.04598605,0.045235986
16,F,2017,2017,Alto Jahuel 110,0,EtaMes,0.076943205,0.078945961,0.080336001,0.079044627,0.078349537,0.077131203,0.076226312,0.074644672,0.073019815,0.07207233,0.072147526,0.074663705
17,F,2018,2018,Alto Jahuel 110,0,EtaMes,0.079450769,0.081222351,0.082691273,0.082265183,0.081610846,0.080646464,0.079503376,0.077739275,0.075782507,0.075382297,0.075296032,0.077028855
