DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegSisGbl,DemVegSisPri,DemVegSisSec,DemVegSisCmr,DemVegIBlo,DemVegEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
1,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,0,0,0,0,0,0,0,0,0,1.025598409,1.029246988,1.012504282
2,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,0,0,0,0,0,0,0,0,0,1.037841417,1.032023172,1.026473536
3,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,0,0,0,0,0,0,0,0,0,1.021519161,1.028848492,1.012896402
4,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,0,0,0,0,0,0,0,0,0,1.04358156,1.032594348,1.024776755
5,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,0,0,0,0,0,0,0,0,0,0.983012208,1.019284605,1.010803175
6,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,0,0,0,0,0,0,0,0,0,1.040019121,1.009415204,1.006032869
7,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,0,0,0,0,0,0,0,0,0,0.927638573,0.977044101,0.988530215
8,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0,0,0,0,0,0,0,0,0,0.997411878,0.974825811,0.974206322
9,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,0,0,0,0,0,0,0,0,0,0.931969933,0.996541908,0.999500909
10,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0,0,0,0,0,0,0,0,0,0.978424603,0.954984539,0.956612125
11,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,0,0,0,0,0,0,0,0,0,0.964033574,1.013107927,0.999933394
12,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0,0,0,0,0,0,0,0,0,0.982499343,0.97745588,0.966404299
13,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,0,0,0,0,0,0,0,0,0,0.976126667,1.013772087,1.024556187
14,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0,0,0,0,0,0,0,0,0,0.989955611,0.980059382,0.978868507
15,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,0,0,0,0,0,0,0,0,0,1.031403866,1.058669225,1.046266919
16,F,2015,2015,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0,0,0,0,0,0,0,0,0,1.035640043,1.032811307,1.027758016
17,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066676865,1.053472248,1.026949866,1.058996999,1.03207173,1.078697427,1.016700218,1.049821202,1.129603865,1.025593525,1.029297702,1.012497466
18,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015909328,0.9851687,1.025673087,1.004394964,1.009491948,0.978463493,1.026110205,1.02829241,0.965741998,1.037828877,1.032032908,1.02647506
19,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.051429277,1.038967692,1.029248065,1.057319109,1.047220873,1.090339425,1.030928272,1.031531254,1.121975931,1.021538801,1.028848255,1.012893321
20,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046818278,1.026970652,1.032049466,1.020258649,1.034107571,1.030606235,1.022055252,1.023442308,0.958268542,1.043571587,1.032585086,1.02478236
21,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.025400279,1.026875306,1.0140469,1.021834849,1.024915946,1.042341835,1.011257375,0.991195389,1.095600971,0.983032903,1.019281456,1.010769083
22,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026884695,0.993674736,1.003457155,0.997759673,1.015778079,1.015965715,1.006901706,1.016534586,0.959737424,1.040025292,1.009432147,1.006006275
23,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008957918,1.036571286,1.00122655,1.006920273,0.992332544,1.027019817,0.986764578,0.969548656,1.076200351,0.927664947,0.977033444,0.988523131
24,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.972359569,0.968501973,0.955983556,0.967710193,0.966252037,0.963751691,0.966838264,0.961220197,0.919314721,0.997423996,0.974837574,0.974199164
25,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034702446,1.050594986,1.00369749,1.017836914,0.997148587,1.053961602,0.995407967,0.995582798,1.089068208,0.931971343,0.99654311,0.999506722
26,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.96287379,0.965667879,0.951499813,0.982141739,0.959705791,0.915393822,0.966038563,0.949433343,0.913921992,0.978424355,0.954984861,0.956612874
27,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050888785,1.049341603,1.004268284,1.025998501,1.007709288,1.040597587,1.001962377,1.019374246,1.098135646,0.964073573,1.013117612,0.999952756
28,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946902097,0.943359241,0.966821145,0.979226618,0.971272272,0.896786264,0.969237367,0.967080965,0.926556648,0.9824838,0.977457208,0.966402627
29,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020905654,1.061875432,0.992011219,1.034325805,1.012953222,1.046292043,0.998397698,1.037246863,1.10516578,0.976097927,1.013759679,1.024484633
30,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913944964,0.917615905,0.97312993,0.95868518,0.93776936,0.853096373,0.983185089,0.99408041,0.945321891,0.989965338,0.980051159,0.978867886
31,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.05083189,1.066274096,1.000798453,1.038271953,1.019580971,1.100620225,1.02139563,1.063212056,1.138929553,1.031372672,1.058640167,1.046284551
32,F,2016,2016,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951557059,0.93194028,0.987043051,0.950435556,0.960052612,0.912111883,1.016466755,1.036403131,0.979664107,1.035640089,1.032803388,1.027762983
33,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066686893,1.053478566,1.026953661,1.059000425,1.032065303,1.078701307,1.016678896,1.049858288,1.129600044,1.025573637,1.029265708,1.012487587
34,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015908471,0.985166941,1.025675705,1.004411648,1.009497406,0.978466699,1.026109333,1.028309645,0.965751571,1.037840101,1.032020675,1.026471932
35,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.051423365,1.03896759,1.029248172,1.05731909,1.047215306,1.090327394,1.030947294,1.031535364,1.12198073,1.021520841,1.02886239,1.012886331
36,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046820554,1.026975276,1.032050962,1.020256041,1.034106418,1.030607201,1.022051265,1.023442126,0.958263959,1.04357665,1.032591524,1.024785619
37,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.02537911,1.026910676,1.014057925,1.021890975,1.0249214,1.042316081,1.011233791,0.991184939,1.095609734,0.982992256,1.019275848,1.01081717
38,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026889212,0.993688293,1.00344944,0.997754547,1.015781628,1.01596684,1.006910035,1.016522354,0.959749741,1.040028611,1.009434907,1.006007989
39,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008960503,1.036559255,1.001227539,1.006939109,0.992325141,1.027015119,0.98674934,0.969539822,1.076195503,0.927658076,0.977020607,0.988509036
40,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.972355536,0.968501675,0.955983547,0.967711614,0.966249391,0.963753633,0.966844568,0.961225573,0.919307097,0.99740793,0.974836489,0.974200711
41,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034702238,1.05059771,1.003718101,1.017807734,0.997120002,1.05395704,0.995398537,0.995584125,1.089064364,0.931973339,0.996539391,0.99950145
42,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962874897,0.965663644,0.95149618,0.982139427,0.95970961,0.915400453,0.966037651,0.949434773,0.913921592,0.978425053,0.954984415,0.9566115
43,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.05090083,1.04931733,1.004211857,1.025974215,1.007712686,1.040597614,1.001954888,1.019355163,1.098136664,0.964079207,1.013133017,0.999959468
44,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.94690382,0.943365865,0.96683165,0.979232575,0.971289337,0.896789094,0.969253951,0.967066596,0.926556251,0.982486271,0.977467358,0.966398925
45,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020923809,1.061846766,0.992013188,1.034260791,1.012885858,1.046298297,0.998398901,1.037281668,1.105178176,0.976129521,1.013753504,1.024557689
46,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913941599,0.91762761,0.973148817,0.958671713,0.937807003,0.853109083,0.98318746,0.994079139,0.945310133,0.989958154,0.980048589,0.978890673
47,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050845826,1.06623664,1.000791873,1.038283984,1.019572271,1.100628279,1.021401691,1.063171613,1.138921956,1.031391652,1.058635478,1.046273096
48,F,2017,2017,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951544134,0.9319339,0.987035695,0.950430172,0.960061527,0.912114408,1.016464224,1.036413408,0.979670238,1.035644222,1.032806626,1.027761115
49,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066690242,1.053489372,1.026949791,1.058961798,1.032061154,1.078699835,1.01669434,1.049829892,1.129597374,1.025564314,1.029255723,1.012483509
50,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015904213,0.985170244,1.025672734,1.004413263,1.009494666,0.978456348,1.026114622,1.028295311,0.965742315,1.037849818,1.032014156,1.026470483
51,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.051408528,1.038965595,1.029237265,1.057318558,1.047222028,1.090337818,1.030935361,1.031524227,1.12197522,1.021543517,1.028865944,1.01288972
52,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.04682039,1.026975378,1.032050998,1.020254271,1.034107209,1.030602987,1.022054077,1.023439225,0.958266904,1.043574826,1.03258983,1.024777673
53,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.025389748,1.026886997,1.014038891,1.021843908,1.024939623,1.042343113,1.011255559,0.991200915,1.095625193,0.983006528,1.019301373,1.010843037
54,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026892551,0.993685585,1.00345055,0.997770004,1.015783369,1.015970586,1.006909738,1.016523751,0.959744972,1.04002874,1.009418983,1.006019269
55,F,2018,2018,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008965228,1.036579336,1.00124026,1.006938756,0.992331848,1.027021579,0.986745261,0.969556161,1.076182744,0.927655297,0.977025372,0.988540433
