DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegSis,DemVegFPot,DemVegEtaTip,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar
1,F,2017,2017,SIC,F,EtaMes,2451.665116,2561.342287,2626.819948,2674.007284,2541.892252,2347.581799,2444.183237,2509.674745,2639.394654,2656.059385,2529.370281,2651.825133
2,F,2018,2018,SIC,F,EtaMes,2415.301233,2533.159854,2595.763745,2613.529455,2481.308976,2283.146882,2383.363635,2450.675861,2590.872164,2657.011424,2534.320244,2690.837807
3,F,2019,2019,SIC,F,EtaMes,2458.828709,2599.643298,2665.471178,2715.395056,2570.572086,2353.675917,2459.721027,2533.77518,2673.63682,2744.426611,2618.176835,2779.176627
4,F,2020,2020,SIC,F,EtaMes,2538.320475,2682.502077,2749.813748,2801.169034,2652.335267,2429.400551,2539.368706,2616.135205,2761.601346,2853.773786,2722.740163,2889.641241
5,F,2021,2021,SIC,F,EtaMes,2638.35198,2787.461348,2857.206792,2910.347303,2756.004136,2524.78345,2639.471483,2719.616106,2871.657188,2975.737493,2839.1057,3012.993147
6,F,2022,2022,SIC,F,EtaMes,2750.745363,2905.945249,2978.667462,3034.023781,2873.154585,2632.196636,2751.975669,2835.771181,2994.621477,3099.032625,2956.680719,3137.63824
7,F,2023,2023,SIC,F,EtaMes,2864.331811,3025.697887,3101.542977,3159.035494,2991.563013,2740.725732,2865.681607,2953.200028,3118.905085,3225.64216,3077.440328,3265.673729
8,F,2024,2024,SIC,F,EtaMes,2980.969645,3148.631298,3227.685186,3287.348038,3113.105932,2852.131478,2982.406332,3073.771483,3246.533417,3332.111656,3178.980548,3373.296075
9,F,2025,2025,SIC,F,EtaMes,3079.015575,3251.987,3333.751906,3395.236925,3215.297579,2945.78962,3080.511615,3175.109819,3353.800131,3406.41551,3249.815805,3448.446292
10,F,2026,2026,SIC,F,EtaMes,3147.543147,3324.24871,3407.965583,3470.714642,3286.764741,3011.261164,3149.102788,3245.969884,3428.734873,3488.743805,3328.29943,3531.719709
11,F,2027,2027,SIC,F,EtaMes,3223.459743,3404.301825,3490.17954,3554.340444,3365.947106,3083.804272,3225.110405,3324.47991,3511.756629,3570.549444,3406.291743,3614.474
12,F,2028,2028,SIC,F,EtaMes,3298.876586,3483.813013,3571.841156,3637.386241,3444.584495,3155.853098,3300.610157,3402.481912,3594.258383,3655.936315,3487.705135,3700.856309
13,F,2029,2029,SIC,F,EtaMes,3377.588187,3566.786704,3657.054827,3724.041356,3526.643559,3231.041922,3379.398501,3483.885089,3680.36495,3741.018108,3568.834681,3786.93416
14,F,2030,2030,SIC,F,EtaMes,3455.994993,3649.421624,3741.917918,3810.329491,3608.362535,3305.922855,3457.864214,3564.969548,3766.158559,3842.474713,3665.596038,3889.580591
15,F,2031,*,SIC,F,EtaMes,3549.47932,3747.959186,3843.07191,3913.198729,3705.790919,3395.200618,3551.375798,3661.58623,3868.404368,3941.642758,3760.180183,3989.922765
