GEN,no_load_cost,start_up_cost,shut_down_cost,variable_cost,min_down_time,min_up_time,gen_p_min,gen_p_max,ramp_up,ramp_down,start_up_ramp,shut_down_ramp,gen_zone,gen_is_variable,fuel_cost_is_variable
Tal Tal Eólico,0,20,20,0.0,2,2,9.844758,98.44758,9.844758,9.844758,4.922379,14.06394,Diego de Almagro 220,False,False
Lalackama,0,20,20,0.0,2,2,5.5,55.0,5.5,5.5,2.75,7.85714285714,Diego de Almagro 220,False,False
Lalackama 2,0,20,20,0.0,2,2,1.65,16.5,1.65,1.65,0.825,2.35714285714,Diego de Almagro 220,False,False
Diego de Almagro TG,0,20,20,11.92186,2,2,2.36691,23.6691,2.36691,2.36691,1.183455,3.3813,Diego de Almagro 220,False,False
San Lorenzo 01,0,20,20,11.86626,2,2,2.84145,28.4145,2.84145,2.84145,1.420725,4.05921428571,Diego de Almagro 220,False,False
San Lorenzo 02,0,20,20,11.86626,2,2,2.5922,25.922,2.5922,2.5922,1.2961,3.70314285714,Diego de Almagro 220,False,False
San Lorenzo 03,0,20,20,11.86626,2,2,0.76769,7.6769,0.76769,0.76769,0.383845,1.0967,Diego de Almagro 220,False,False
Emelda 01,0,20,20,12.3327,2,2,3.301725,33.01725,3.301725,3.301725,1.6508625,4.71675,Diego de Almagro 220,False,False
Emelda 02,0,20,20,12.3327,2,2,3.5712,35.712,3.5712,3.5712,1.7856,5.10171428571,Diego de Almagro 220,False,False
El Salvador TG,0,20,20,11.96716,2,2,2.36691,23.6691,2.36691,2.36691,1.183455,3.3813,Diego de Almagro 220,False,False
Diego de Almagro FV,0,20,20,0.0,2,2,2.81,28.1,2.81,2.81,1.405,4.01428571429,Diego de Almagro 220,False,False
San Andres FV,0,20,20,0.0,2,2,5.06,50.6,5.06,5.06,2.53,7.22857142857,Cardones 220,False,False
Llano de Llampos FV,0,20,20,0.0,2,2,10.102,101.02,10.102,10.102,5.051,14.4314285714,Cardones 220,False,False
Cardones,0,20,20,12.11086,2,2,15.22748,152.2748,15.22748,15.22748,7.61374,21.7535428571,Cardones 220,False,False
Cenizas,0,20,20,8.542,2,2,1.39,13.9,1.39,1.39,0.695,1.98571428571,Cardones 220,False,False
Termopacífico,0,20,20,12.25604,2,2,8.605755,86.05755,8.605755,8.605755,4.3028775,12.2939357143,Cardones 220,False,False
Guacolda 01,0,20,20,1.93058,2,2,14.288,142.88,14.288,14.288,7.144,20.4114285714,Maitencillo 220,False,False
Guacolda 02,0,20,20,1.98282,2,2,14.288,142.88,14.288,14.288,7.144,20.4114285714,Maitencillo 220,False,False
Guacolda 03,0,20,20,1.7601,2,2,13.7104,137.104,13.7104,13.7104,6.8552,19.5862857143,Maitencillo 220,False,False
Guacolda 04,0,20,20,1.91994,2,2,13.908,139.08,13.908,13.908,6.954,19.8685714286,Maitencillo 220,False,False
Huasco TG,0,20,20,11.73806,2,2,5.7681,57.681,5.7681,5.7681,2.88405,8.24014285714,Maitencillo 220,False,False
Salvador FV,0,20,20,0.0,2,2,6.8,68.0,6.8,6.8,3.4,9.71428571429,Diego de Almagro 220,False,False
Guacolda 05,0,20,20,1.92408,2,2,13.17,131.7,13.17,13.17,6.585,18.8142857143,Maitencillo 220,False,False
Chañares,0,20,20,0.0,2,2,3.494,34.94,3.494,3.494,1.747,4.99142857143,Diego de Almagro 220,False,False
Javiera,0,20,20,0.0,2,2,6.5,65.0,6.5,6.5,3.25,9.28571428571,Diego de Almagro 220,False,False
Solar Esperanza,0,20,20,0.0,2,2,0.28656,2.8656,0.28656,0.28656,0.14328,0.409371428571,Diego de Almagro 220,False,False
Solar Las Terrazas,0,20,20,0.0,2,2,0.299,2.99,0.299,0.299,0.1495,0.427142857143,Cardones 220,False,False
Trebal Mapocho,0,20,20,0.0,2,2,0.8226,8.226,0.8226,0.8226,0.4113,1.17514285714,Alto Jahuel 220,False,False
Solar Hornitos,0,20,20,0.0,2,2,0.0318467159,0.318467159,0.0318467159,0.0318467159,0.01592335795,0.0454953084286,Cardones 220,False,False
Solar Santa Cecilia,0,20,20,0.0,2,2,0.29452,2.9452,0.29452,0.29452,0.14726,0.420742857143,Diego de Almagro 220,False,False
Casas Blancas FV,0,20,20,0.0,2,2,0.199,1.99,0.199,0.199,0.0995,0.284285714286,Los Vilos 220,False,False
Lomas Coloradas FV,0,20,20,0.0,2,2,0.199,1.99,0.199,0.199,0.0995,0.284285714286,Los Vilos 220,False,False
El Peñón,0,20,20,11.45628,2,2,8.0838,80.838,8.0838,8.0838,4.0419,11.5482857143,Pan de Azucar 220,False,False
El Arrayán,0,20,20,0.0,2,2,11.49885,114.9885,11.49885,11.49885,5.749425,16.4269285714,Pan de Azucar 220,False,False
Punta Colorada 01 Fuel,0,20,20,8.56382,2,2,1.6609,16.609,1.6609,1.6609,0.83045,2.37271428571,Punta Colorada 220,False,False
Eolica Punta Colorada,0,20,20,0.0,2,2,1.9998,19.998,1.9998,1.9998,0.9999,2.85685714286,Punta Colorada 220,False,False
Eolica Canela 01,0,20,20,0.0,2,2,1.79685,17.9685,1.79685,1.79685,0.898425,2.56692857143,Las Palmas 220,False,False
Eolica Canela 02,0,20,20,0.0,2,2,5.94,59.4,5.94,5.94,2.97,8.48571428571,Las Palmas 220,False,False
