LINE,constant,to_bus,from_bus,flow_limit
Diego de Almagro 220->Carrera Pinto 220,100,Diego de Almagro 220 Aux,Carrera Pinto 220,197.0
Carrera Pinto 220->Carrera Pinto 220 Aux II,100,Carrera Pinto 220,Carrera Pinto 220 Aux,591.0
Carrera Pinto 220->Carrera Pinto 220 Aux III,100,Carrera Pinto 220,Carrera Pinto 220 Aux,684.0
Carrera Pinto 220->Carrera Pinto 220 Aux,100,Carrera Pinto 220,Carrera Pinto 220 Aux,394.0
Cardones 220->Diego de Almagro 220,100,Cardones 220,Diego de Almagro 220 Aux,342.0
Diego de Almagro 220->Carrera Pinto 220 I,100,Diego de Almagro 220 Aux,Carrera Pinto 220,400.0
Carrera Pinto 220->Carrera Pinto 220 Aux IV,100,Carrera Pinto 220,Carrera Pinto 220 Aux,1026.0
Diego de Almagro 220->Carrera Pinto 220 III,100,Diego de Almagro 220 Aux,Carrera Pinto 220,342.0
Carrera Pinto 220 Aux->Cardones 220 III,100,Carrera Pinto 220 Aux,Cardones 220,342.0
Diego de Almagro 220->Carrera Pinto 220 IV,100,Diego de Almagro 220 Aux,Carrera Pinto 220,342.0
Carrera Pinto 220 Aux->Cardones 220 IV,100,Carrera Pinto 220 Aux,Cardones 220,342.0
Diego de Almagro 220->Diego de Almagro 220 Aux,100,Diego de Almagro 220,Diego de Almagro 220 Aux,684.0
Diego de Almagro 220->Diego de Almagro 220 Aux II,100,Diego de Almagro 220,Diego de Almagro 220 Aux,1026.0
Pan de Azucar 500->Polpaico 500,100,Pan de Azucar 500,Polpaico 500,3400.0
Pan de Azucar 500->Pan de Azucar 220,100,Pan de Azucar 500,Pan de Azucar 220,750.0
Pan de Azucar 500->Maitencillo 500,100,Pan de Azucar 500,Maitencillo 500,3400.0
Maitencillo 500->Maitencillo 220,100,Maitencillo 500,Maitencillo 220,750.0
Maitencillo 500->Cardones 500,100,Maitencillo 500,Cardones 500,3400.0
Cardones 500->Cardones 220,100,Cardones 500,Cardones 220,750.0
Cardones 220->Maitencillo 220,100,Cardones 220,Maitencillo 220,591.0
Cardones 220->Maitencillo 220 II,100,Cardones 220,Maitencillo 220,591.0
Cardones 220->Maitencillo 220 III,100,Cardones 220,Maitencillo 220,660.0
Cardones 220->Algarrobal 220,100,Cardones 220,Algarrobal 220,660.0
Algarrobal 220->Algarrobal 220 Aux,100,Algarrobal 220,Algarrobal 220 Aux,660.0
Algarrobal 220 Aux->Maitencillo 220,100,Algarrobal 220 Aux,Maitencillo 220,660.0
Maitencillo 220->Don Hector 220,100,Maitencillo 220,Don Hector 220,394.0
Don Hector 220->Don Hector 220 Aux,100,Don Hector 220,Don Hector 220 Aux,394.0
Don Hector 220 Aux->Punta Colorada 220,100,Don Hector 220 Aux,Punta Colorada 220,394.0
Punta Colorada 220->Pan de Azucar 220,100,Punta Colorada 220,Pan de Azucar 220,394.0
Las Palmas 220->Los Vilos 220,100,Las Palmas 220,Los Vilos 220,446.0
Los Vilos 220->Nogales 220,100,Los Vilos 220,Nogales 220,446.0
Nogales 220->Polpaico 220,100,Nogales 220,Polpaico 220,3000.0
Quillota 220->Polpaico 220,100,Quillota 220,Polpaico 220,2000.0
San Luis 220->Quillota 220,100,San Luis 220,Quillota 220,2352.0
Agua Santa 220->San Luis 220,100,Agua Santa 220,San Luis 220,321.15
Melipilla 220->Nueva Casablanca Aux 220 I,100,Melipilla 220,Nueva Casablanca Aux 220,500.0
Melipilla 220->Nueva Casablanca Aux 220 II,100,Melipilla 220,Nueva Casablanca Aux 220,500.0
Nueva Casablanca Aux 220->Nueva Casablanca 220,100,Nueva Casablanca Aux 220,Nueva Casablanca 220,1000.0
Nueva Casablanca 220->La Polvora Aux 220 I,100,Nueva Casablanca 220,La Polvora Aux 220,500.0
Nueva Casablanca 220->La Polvora Aux 220 II,100,Nueva Casablanca 220,La Polvora Aux 220,500.0
La Polvora Aux 220->La Polvora 220,100,La Polvora Aux 220,La Polvora 220,1000.0
La Polvora 220->Agua Santa Aux 220 I,100,La Polvora 220,Agua Santa Aux 220,500.0
La Polvora 220->Agua Santa Aux 220 II,100,La Polvora 220,Agua Santa Aux 220,500.0
Agua Santa Aux 220->Agua Santa 220,100,Agua Santa Aux 220,Agua Santa 220,1000.0
Agua Santa 220->Agua Santa 110,100,Agua Santa 220,Agua Santa 110,294.0
Quillota 220->Quillota 110 1,100,Quillota 220,Quillota 110,225.0
Quillota 220->Quillota 110 2,100,Quillota 220,Quillota 110,150.0
Agua Santa 110->Quillota 110,100,Agua Santa 110,Quillota 110,800.0
Las Vegas 110->Quillota 110,100,Las Vegas 110,Quillota 110,366.0
Polpaico 220->El Llano 220,100,Polpaico 220,El Llano 220,294.0
El Llano 220->Los Maquis 220,100,El Llano 220,Los Maquis 220 Aux,294.0
Polpaico 220->Los Maquis 220,100,Polpaico 220,Los Maquis 220 Aux,294.0
Los Maquis 220 Aux->Los Maquis 220,100,Los Maquis 220 Aux,Los Maquis 220,294.0
Chena 220->Chena 110,100,Chena 220,Chena 110,784.0
Cerro Navia 220->Cerro Navia 110,100,Cerro Navia 220,Cerro Navia 110,735.0
Cerro Navia 110->Las Vegas 110,100,Cerro Navia 110,Las Vegas 110,162.0
Polpaico 220->Polpaico Desf 220,100,Polpaico 220,Polpaico Desf 220,700.0
Lampa 220->Polpaico Desf 220,100,Lampa 220,Polpaico Desf 220,620.0
Cerro Navia 220->Lampa 220,100,Cerro Navia 220,Lampa 220,620.0
Chena 220->Cerro Navia 220,100,Chena 220,Cerro Navia 220,800.0
Melipilla 220->Cerro Navia 220,100,Melipilla 220,Cerro Navia 220,386.0
