T/ZONE,Diego de Almagro 220,Diego de Almagro 220 Aux,Carrera Pinto 220,Cardones 500,Cardones 220,Maitencillo 500,Maitencillo 220,Punta Colorada 220,Don Hector 220,Don Hector 220 Aux,Pan de Azucar 500,Pan de Azucar 220,Las Palmas 220,Los Vilos 220,Nogales 220,Quillota 220,San Luis 220,Agua Santa 220,Agua Santa 110,Quillota 110,Las Vegas 110,Polpaico 500,Polpaico 220,Polpaico Desf 220,Lampa 220,Cerro Navia 220,Cerro Navia 110,Chena 110,Los Almendros 220,Chena 220,El Rodeo 220,Maipo 220,Candelaria 220,Colbun 220,Los Almendros 110,Alto Jahuel 220,Alto Jahuel 500,Alto Jahuel 110,Melipilla 220,Rapel 220,Alto Jahuel 154,Itahue 154,Itahue 220,Ancoa 500,Ancoa 500 Aux Sur,Ancoa 500 Aux,Ancoa 220,Charrua 220,Charrua 500,Nueva Charrua 500,Nueva Charrua 220,Hualpen 220,Lagunillas 220,Temuco 220,Ciruelos 220,Valdivia 220,Rahue 220,Puerto Montt 220,Puerto Montt 220 Aux,Cautin 220,El Salto 220,El Salto 110,Los Maquis 220,Los Maquis 220 Aux,Pichirropulli 220,Pichirropulli 220 Aux,Lo Aguirre 500,Lo Aguirre 220,Alto Jahuel 500 Aux,Polpaico 500 Aux,Puerto Montt 500,Carrera Pinto 220 Aux,Los Changos 500,Cumbre 500,Cumbre 220 Aux,Los Changos 220,Cumbre 220,Puente Negro 220,Chiloe 220,Don Goyo 220,Don Goyo 220 Aux,El Llano 220,La Cebada 220,La Cebada 220 Aux,Maitencillo 220 Aux,Melipulli 220,Nueva Valdivia 220,Nueva Valdivia 220 Aux,Pan de Azucar 220 Aux,Punta Colorada 220 Aux,San Andres 220,San Andres 220 Aux,Duqueco 220,Monte Redondo 220,Mulchen 220,Talinay 220,El Rosal 220,Pichirrahue 220,Ciruelos 500,Algarrobal 220,Algarrobal 220 Aux,Rio Malleco 220,Rio Tolten 220,Rio Tolten 220 Aux,Frutillar Norte 220,Frutillar Norte 220 Aux,Cerros de Huichahue 220 Aux,Cerros de Huichahue 220,Punta Sierra 220 Aux,Punta Sierra 220,Tap Mauro 220,Pta Barranco 220 Aux,Pta San Gallan 220,Pta Barranco 220,Pta Barranco 220 Aux II,Pta Barranco 220 II,Pta San Gallan 220 II,Ancud 220,Nueva Casablanca Aux 220,Nueva Casablanca 220,La Polvora Aux 220,La Polvora 220,Agua Santa Aux 220,Mataquito Aux 220,Mataquito 220,Nueva Nirivilo Aux 220,Nueva Nirivilo 220,Nueva Cauquenes Aux 220,Nueva Cauquenes 220,Dichato Aux 220,Dichato 220,Hualqui Aux 220,Hualqui 220,Parral 066,Parral 154
1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
2,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
4,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
6,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
7,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
8,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
9,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
10,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
