TIMEPOINT	Itahue 154	Mulchen 220	Parral 154	Hualqui 220	Los Maquis 220	Punta Sierra 220 Aux	El Rosal 220	Hualpen 220	Ancoa 220	El Salto 110	Pta San Gallan 220 II	Pan de Azucar 220 Aux	Pichirropulli 220	Nogales 220	Ciruelos 500	Rio Tolten 220 Aux	Pta Barranco 220 Aux	Punta Colorada 220	Charrua 500	Don Goyo 220	Los Almendros 110	Ancoa 500 Aux	Agua Santa Aux 220	Polpaico 220	Hualqui Aux 220	Alto Jahuel 500 Aux	Nueva Valdivia 220	Alto Jahuel 110	Carrera Pinto 220	Los Changos 220	Polpaico 500	Quillota 220	Nueva Valdivia 220 Aux	Punta Sierra 220	Cerro Navia 110	Frutillar Norte 220	Charrua 220	Parral 066	Maitencillo 500	La Cebada 220 Aux	Las Vegas 110	Nueva Charrua 220	Chena 110	Quillota 110	Puerto Montt 500	Pichirrahue 220	Ciruelos 220	Agua Santa 110	Duqueco 220	Melipulli 220	Nueva Cauquenes Aux 220	Cautin 220	Pta Barranco 220	Dichato Aux 220	Los Maquis 220 Aux	Cerro Navia 220	San Andres 220 Aux	Los Vilos 220	Polpaico 500 Aux	Ancoa 500	Temuco 220	Monte Redondo 220	La Cebada 220	Pichirropulli 220 Aux	Alto Jahuel 220	Cerros de Huichahue 220 Aux	Las Palmas 220	Cardones 220	El Rodeo 220	Ancoa 500 Aux Sur	San Luis 220	Don Hector 220	Cumbre 220 Aux	Chiloe 220	Maitencillo 220 Aux	Algarrobal 220 Aux	Lagunillas 220	Don Goyo 220 Aux	Talinay 220	Agua Santa 220	Chena 220	Nueva Casablanca 220	Rio Malleco 220	Rio Tolten 220	Puerto Montt 220	Melipilla 220	Cardones 500	Cerros de Huichahue 220	El Llano 220	Puerto Montt 220 Aux	El Salto 220	Cumbre 220	Polpaico Desf 220	Alto Jahuel 154	Nueva Cauquenes 220	Rapel 220	Candelaria 220	San Andres 220	Nueva Nirivilo Aux 220	Cumbre 500	Mataquito 220	Pta Barranco 220 Aux II	Dichato 220	Pan de Azucar 500	La Polvora Aux 220	Lampa 220	Carrera Pinto 220 Aux	Mataquito Aux 220	Diego de Almagro 220 Aux	Diego de Almagro 220	Los Changos 500	Tap Mauro 220	Lo Aguirre 500	Ancud 220	Nueva Nirivilo 220	Maipo 220	Don Hector 220 Aux	Frutillar Norte 220 Aux	Nueva Casablanca Aux 220	Los Almendros 220	Rahue 220	Punta Colorada 220 Aux	Pan de Azucar 220	Colbun 220	Maitencillo 220	Puente Negro 220	Algarrobal 220	Lo Aguirre 220	Itahue 220	Valdivia 220	Alto Jahuel 500	Nueva Charrua 500	La Polvora 220	Pta Barranco 220 II	Pta San Gallan 220
1	13.9127508325	29.9321854638	-0.25	23.1853133865	13.1103777687	6.11593034839	27.0199914555	25.4449385925	15.6735009974	18.2339117006	46.1112736007	3.92775579061	43.0550290988	12.3114487426	32.5723825811	33.3655364722	46.0387736007	2.36859724374	24.7504738973	3.8920217345	15.0739117006	15.3833976003	8.78305861532	14.436211102	19.7958755776	12.176358861	37.901232419	14.1803134064	-0.231169841276	-1.93201286126	9.97930783384	10.8319603209	38.0315649483	5.04079119696	14.6053650165	46.299220577	25.9449385925	0.0	1.5879772213	4.5805975009	12.6499296328	24.6163340455	14.2249031715	10.981585824	38.2755780909	42.3751621105	35.1910957552	10.0955430215	28.5950443185	44.4987736007	13.6275621508	33.0903500446	45.0187736007	15.9617188642	13.6058777687	13.4962155613	0.0	9.45677998313	11.4243247609	19.4509382619	30.6700971816	5.16948356818	4.30605761922	38.0860661544	13.7391253471	35.6560858883	6.38706200668	0.246233968255	13.3876989548	22.4963805525	10.0364735199	1.51205193055	-0.810764065391	48.7537736007	1.38796104501	0.305809658008	24.3151259895	4.10628767838	4.83504962531	9.4716917189	13.5362725625	9.40579240815	31.2612677542	34.4159093276	44.4787736007	11.6228427528	0.103326240805	36.6210760213	13.7710444354	48.1387736007	25.5224583846	-1.23895212999	15.3182002282	13.2391253471	15.0169999597	11.1498427528	13.47605752	-0.161645291007	12.7934054373	-1.16714019459	12.8486865329	45.5887736007	18.3511566731	4.57738763864	9.00010895994	16.7001893543	-0.157879259262	13.4592487239	-0.26739792329	-0.346670033091	-1.86579469459	8.22394533466	11.8652734875	46.8837736007	13.1828432463	13.3575914336	1.81532458715	44.9596675532	10.7171593046	14.1565185238	44.1201145295	2.86986499672	3.62113274971	14.055034911	1.08559750288	13.5155462155	0.0260218131315	12.4951368407	14.0145298195	38.346731213	14.4915124349	23.7877294984	8.68874206353	45.0437736007	47.0587736007
2	7.01776833073	20.8815955368	-0.3	14.7792302215	9.48785683006	5.00776429137	18.40324277	17.2081336508	9.15805980991	12.0426434588	35.5919998389	2.86020121484	30.933857241	10.3032915396	22.6769479441	23.7019067806	35.0994665056	1.80581838527	16.7067198677	2.73034616896	11.5811465939	11.195890529	9.73669783193	11.0753568301	11.1358750776	10.7080809123	29.9004602324	11.4322204392	-0.105307445697	-2.00856380766	8.08550843572	10.303412855	28.6422342202	3.87389217821	13.887783638	31.7075096405	17.8081336508	0.0	1.24994813863	3.36280638542	12.723021934	16.5339860446	12.607783638	11.803412855	26.5082072249	30.7389755837	25.4159167398	10.8030544117	19.5983518891	32.2094665056	5.00580964593	23.5305701275	34.0794665056	7.17084236178	10.0803568301	18.2501855211	0.0	8.0813822491	10.233599704	12.8498699023	21.3934610083	3.96814094242	3.10459621052	28.4504602324	10.7027310857	25.8274312374	5.26772426362	0.261061489139	12.1132324832	14.9388094028	10.0792931617	1.27503411715	-0.586071744265	36.5037998389	1.13990340579	0.179940869963	15.9936819362	2.90049112307	3.63667594386	10.0063484685	14.1237338808	11.5973965589	21.9060828321	24.6445800867	30.9394665056	15.0929206041	-0.0265373393537	26.8389457349	10.2778568301	31.7765357735	11.2590001444	-1.23214610929	17.4627711756	10.1027310857	6.24916478983	14.5379206041	8.27836493525	-0.148081985519	4.64077693007	-1.27822047432	4.91909935812	34.1288665056	9.61419750568	3.54756877313	10.8322218771	24.4501855211	-0.109143474659	6.07574421422	-0.0980339167358	0.0369654382494	-1.97597797432	7.35558857318	12.0327285556	37.3551331723	4.68413207398	9.19054801045	1.39042625121	32.2384835074	13.7277459223	10.8419388398	33.3694573743	2.11661382218	2.72740925908	8.27024288511	1.03938056037	7.97430391018	-0.0794988204487	15.7565050505	6.95406664227	28.313121214	10.9323956857	15.8598384384	9.90187251366	31.8025998389	36.1194665056
3	-5.16481133817	4.49785709939	-0.25	0.737223266519	-0.946871063977	-0.846824263691	3.23199861377	2.74444255261	-4.15853499499	-1.73550150292	15.9753912644	-1.40221959832	10.1358650304	2.11165406991	5.40469349325	5.86772779687	15.5170445977	-0.601884767036	1.66270063854	-1.68067031347	-2.73268816426	-2.59223396581	-0.935514377942	0.368962269356	-2.27360566262	-2.36016740806	10.4012652497	-3.0125911161	0.260591621675	-1.04596646451	-1.05679511196	0.279051521537	8.97220268817	-1.2891437717	-1.04054672773	10.7942571925	3.24444255261	0.0	-0.282054216279	-1.56155921147	-0.148177379065	1.94555904854	-2.32054672773	0.747405644598	8.08086904547	9.95036653372	6.97051079574	3.04014691438	3.71955467493	12.6270445977	-7.30609245003	5.83346679724	14.4970445977	-5.53984905633	-0.457371063977	-0.196461301196	0.0	1.48456427046	-2.07183765651	-1.31407534398	4.70711073608	-1.22055889505	-1.61826708957	8.95126524966	-3.4915384563	7.13076228038	-0.31097370199	0.147881675665	-2.99832467957	0.331766946347	0.565370420211	-0.033655644295	0.294818604543	16.9391112644	-0.117617457171	-0.229015913897	1.74083290956	-1.70912102862	-1.35687639797	0.723334318884	-2.00511090283	-2.25321177159	4.91566194832	6.43624979612	11.2570445977	-1.49148481683	-0.32577749903	7.79101376502	-0.29420439731	11.7409432391	-0.933269616783	-0.511000263314	2.93625048408	-3.9915384563	-6.29526352089	-1.92848481683	-5.17353656832	-0.0305089008867	-7.57233584374	-0.816819131172	-7.32775030831	14.5458045977	-3.52902012719	-0.967509948729	-2.17378742318	6.0035386988	0.0716094234482	-6.33857923745	0.369386319901	0.947728038472	-1.11367963117	-0.533886371077	-2.01022069795	17.654977931	-7.5615069146	-4.58253751231	-0.442770205666	10.3475711459	-1.91206046842	-3.36211331028	10.4008850993	-0.933740000188	-1.01559523334	-5.06753593899	0.332535291323	-5.37053625365	-0.290567119116	-1.09865702929	-5.59399370202	8.50767140743	-2.78677362127	1.14667554448	-1.51493872635	12.1866312644	16.5370445977
4	-13.8165547335	-7.18397458662	-0.2	-9.09178482727	-11.7177041867	-7.35797106056	-7.48716366687	-7.4456130099	-14.035248538	-13.8646338106	-3.90099623956	-5.92594442736	-5.37741379011	-6.48779370866	-7.80353578882	-7.00618162563	-3.84849623956	-3.07647477651	-9.45851176307	-6.40680358899	-14.7421218033	-13.4115996001	-14.6206603459	-10.6731803772	-11.5610425533	-13.1026144708	-5.31387555601	-14.931499701	0.626915761956	-0.0777864971461	-9.62894509672	-11.4850680817	-3.86387555601	-6.94650430037	-13.9828725347	-6.14587139453	-7.0456130099	0.0	-1.79056420841	-6.93048130772	-13.1514679247	-8.53416624754	-14.7412083001	-12.2749106897	-6.95601601419	-5.67528873785	-6.5960795892	-12.6257815277	-7.52871432384	-5.48849623956	-15.7688157315	-6.87621563777	-4.86849623956	-14.2649291424	-11.330989901	-14.4976801033	0.0	-5.59212624013	-12.4277391572	-11.9452100865	-7.17026498081	-6.90488305785	-6.73526893632	-5.83887555601	-14.9201689997	-6.74367824481	-6.43766356546	0.0346168476088	-15.1198790805	-10.4754804449	-12.1808190809	-1.37545662349	1.17800434706	-1.18349623956	-1.40262026465	-0.641310937003	-8.26869891859	-6.68766275062	-6.80177488819	-13.2757536515	-14.9195891613	-15.7104737346	-7.2300951122	-6.86611360135	-5.70849623956	-15.1278337762	-0.61779141925	-6.49127690041	-11.2020851391	-5.78155060309	-12.4689070939	0.214084591624	-12.3480136192	-15.3201689997	-14.8995580055	-15.4468337762	-15.4920305661	0.0871775365216	-16.0727023206	-0.349835163813	-15.9073311837	-4.54849623956	-12.5956714164	-5.38591575575	-15.6380203874	-13.6228468613	0.252560688913	-15.1765889097	0.837458334999	1.85996422478	-0.245798663813	-9.62151957113	-13.4767825905	-3.05349623956	-16.0034445946	-15.4060997829	-2.3259657	-6.11019218597	-15.455380429	-15.0311454015	-5.67451297741	-4.06927581772	-4.86207685894	-15.1493177549	-0.379274829309	-15.5206741605	-0.503347044697	-14.4999941433	-14.6112177728	-5.54073194432	-13.6781969785	-9.62271948518	-15.093113693	-5.44349623956	-2.82849623956
5	-14.8586579039	-15.3403589575	-0.15	-13.9807908958	-10.6522316118	-6.50067336102	-13.9941474026	-12.9329677205	-15.9463700961	-13.011453994	-21.2837706215	-4.96902353507	-18.8570868236	-6.33379488088	-17.0701663247	-17.1856329751	-21.451040389	-2.12203495113	-15.0278439938	-5.40107971268	-14.0331816065	-14.6337206747	-13.0905198508	-9.86937446894	-15.5525256589	-12.8718326687	-18.5212675504	-14.3332433995	-0.00151153521206	0.232441850965	-8.90406636326	-10.4556404189	-18.4333413237	-6.02090073698	-13.110766144	-19.2783901193	-12.6329677205	0.0	-1.20599758434	-5.95920563664	-12.2055451604	-13.8485459269	-13.965327866	-11.2132326018	-18.2759824266	-18.8448877443	-17.6066725538	-11.4725472662	-15.0553270847	-20.238212482	-17.8677299479	-16.8452864488	-20.9946264355	-17.1601278034	-10.3625173261	-13.4732375557	0.0	-5.36799689281	-11.9553177266	-15.255979311	-15.8165067667	-6.01560353141	-5.75015913908	-18.4152306637	-14.7122207262	-18.1761919238	-5.7667042206	0.120302307042	-14.55504552	-15.1159824794	-11.0542055319	-0.422998022317	-0.829177554128	-21.5620589936	-0.582491867515	-0.0882107298562	-13.4568793082	-5.6831358903	-5.88022499674	-11.9724242163	-14.0978703139	-14.1267111199	-16.2428227031	-17.5663260275	-19.1817985285	-13.8538545717	-0.451548946488	-18.4457112937	-10.2659458975	-19.0669414716	-11.5904142315	-0.834990184915	-11.3706621645	-15.0122207262	-17.4959951849	-14.0548545717	-16.1763022007	-0.0604030760565	-17.6753320924	-0.540802815702	-17.411199474	-20.9082775983	-16.1883930404	-4.58750689425	-14.0176633026	-12.5719498601	-0.030705383099	-16.582934237	-0.219755187325	-0.676271238735	-0.0358693157018	-8.62815688995	-12.8735392058	-21.5092636448	-17.9035973294	-15.5942614634	-1.34751648672	-19.189838767	-14.0448067544	-14.5227011663	-18.8012874147	-3.12100838291	-3.9699818147	-16.2643293589	0.257532751695	-16.3703157798	-0.133954211407	-13.4934672222	-16.0188016185	-18.2393782104	-14.4031560156	-14.7641241334	-13.4995676681	-19.8572915518	-21.6074543425
6	-31.5586979844	-33.7830293522	0.0	-31.8230657964	-20.6326215276	-13.6922463243	-32.0095817517	-30.5731763228	-32.3160509748	-24.9513030365	-41.8158051865	-10.6477822514	-38.510758147	-14.5204115812	-35.7065315931	-36.2311290334	-42.0378005354	-5.61907790915	-32.4308253014	-11.3900191721	-26.7224830135	-28.999284125	-24.4192318905	-19.5880977181	-33.6979000068	-24.8642570148	-38.0239619721	-27.3045064632	1.03957449304	0.812531604366	-17.6049897731	-20.4253961762	-37.9129676754	-12.6955226843	-25.2617257188	-39.0911511804	-30.1731763228	-0.2	-3.23383041074	-12.5129775122	-23.6417257188	-31.3453330486	-26.5417257188	-21.7382034745	-37.5330474596	-38.4969142322	-36.7557220183	-22.1080386841	-33.4459871807	-40.3856423958	-36.122402638	-35.7895980385	-41.4117214656	-35.5101513224	-20.2459072419	-25.5422537544	0.0	-12.7424446443	-23.0894301945	-31.5806178436	-34.4823926096	-12.7713942326	-12.0924965659	-37.8794591205	-28.2623106574	-37.5303010524	-12.7056825013	-0.0479148986071	-27.6941822891	-32.1763109731	-21.4036549635	-2.6181230274	2.06506311489	-42.2239726284	-2.62596388044	-1.03818982795	-31.1981210596	-11.9322560928	-12.4564894611	-22.7769751793	-26.7260539208	-26.1037453128	-34.9863136954	-36.7141910234	-38.9595633261	-25.9671303796	-0.931225650896	-37.9048800864	-20.11700248	-38.8067943062	-22.4697003773	0.834910359629	-21.9728163968	-28.6623106574	-35.8475684276	-26.2501303796	-31.5279871942	0.197219864809	-35.5346539536	0.00475760436638	-35.0720710588	-41.3017447214	-34.435317112	-9.73744140682	-25.8826169572	-23.9575350756	0.445134763417	-33.7469052692	1.35295172265	2.88013949252	0.510588104366	-17.2588212502	-24.6242169751	-42.1298656517	-36.0598197432	-30.0951489258	-4.21860046827	-38.9755080547	-26.146002024	-27.6923968354	-38.4598649289	-7.33727531543	-8.85547272172	-32.0832127064	-0.933327292615	-32.0055999503	-0.743052363276	-25.5189637159	-32.8843223744	-37.657470527	-28.2539506954	-32.1174897744	-25.0403602461	-39.8736237912	-42.2638796051
7	-36.4571424351	-38.9278472192	0.0	-36.8642962418	-22.6754036949	-14.9775022309	-36.9651450097	-35.3235005744	-37.017396067	-26.9686470457	-45.914573399	-11.7498834556	-43.9861916078	-15.4678796147	-40.8937086768	-41.6703217491	-46.553291199	-6.19069978289	-37.2217421797	-12.5878119234	-28.9473332608	-32.6514280813	-26.9672648677	-21.3692132187	-39.175489743	-27.6877887573	-43.6045558469	-29.6613388502	1.16549308689	0.736718728694	-19.423409988	-22.2943290876	-43.4659244796	-13.9483674692	-27.0396777442	-44.5992486249	-34.8235005744	0.25	-3.56875360188	-13.7832068578	-25.4196777442	-36.1191109719	-28.3196777442	-23.6503855728	-42.7703318015	-43.9206332094	-42.1890520491	-24.1522492287	-38.6067894451	-45.4490670172	-42.1090702464	-41.1640783158	-46.2511791081	-41.3922799947	-22.1916894092	-27.8799625182	0.0	-13.5762028107	-25.64653746	-36.0734693212	-39.7484338804	-14.0113348685	-13.3365625468	-43.4238715306	-31.2320055456	-43.1006585429	-13.8024302785	-0.0330986173786	-30.3791313798	-36.9033109568	-23.4157454147	-2.85951842732	2.29005890672	-46.1564406535	-2.87765486806	-1.1644999598	-36.0938984081	-13.1757403913	-13.6907751715	-25.0117531704	-29.0262572141	-28.8782882623	-40.2959627675	-42.1828086157	-44.1469549263	-28.5615558083	-1.06013386032	-43.5122650367	-22.0304513139	-44.1974841835	-24.4189301322	0.842237151041	-24.0394629852	-31.7320055456	-41.7978767453	-28.9265558083	-35.7058549209	0.210798156505	-41.3258604982	-0.105584604639	-40.7314572487	-45.7226687808	-40.0810864935	-10.7544792852	-28.6505324136	-26.2097127517	0.493896773883	-39.0426507499	1.5224018999	3.26396978456	0.401142895361	-18.8859156593	-27.2871623376	-45.8564780171	-42.014666997	-33.7189302332	-4.65010910511	-44.5010130663	-28.8337999596	-30.3396694032	-43.9027775077	-8.10178827916	-9.76287677544	-36.5304713793	-0.980200631017	-36.3681631501	-0.848799288591	-28.0271607956	-37.9482475005	-43.146608796	-31.6709177714	-36.9147213695	-27.6950207163	-44.8388595444	-46.3554032899
8	-34.494462593	-31.9777683386	0.0	-31.5166893999	-24.9875676482	-16.5805234708	-30.6380944204	-29.3714130503	-35.327978599	-29.438614611	-34.0763235539	-12.9851959909	-34.2378583116	-16.724135314	-33.704262438	-33.9690122211	-34.4892647304	-6.79642020366	-32.2559904382	-13.9472899054	-31.2888313225	-32.3169818497	-30.2597039205	-23.4097105054	-34.7346039245	-28.9492182783	-34.9193358806	-31.8467142811	1.29162838055	0.663751843731	-20.9511690939	-24.8417946834	-34.7354673256	-15.4493516574	-29.7028499522	-31.6787974352	-28.7714130503	0.3	-3.89170051741	-15.28125771	-28.1007150529	-30.7470592748	-30.9828499522	-26.3912269321	-34.1267635842	-34.222922159	-34.1300332917	-27.228346166	-31.9047757906	-34.7292647304	-39.588347498	-33.5153385309	-34.9092647304	-38.0614757112	-24.4008533625	-30.4136487643	0.0	-14.7681545227	-27.121562926	-33.316504418	-32.5714571607	-15.5089956162	-14.7833417832	-34.7112701581	-32.6854615686	-34.9237789139	-15.1963774812	-0.0183256761101	-32.3705766845	-32.7650667852	-26.4056499702	-3.11779374153	2.51622487747	-31.810441201	-3.14335599784	-1.29251190743	-30.4440512251	-14.6093838198	-15.1596136854	-28.1645666856	-31.4556918003	-32.0499783904	-33.0465534348	-34.2763596015	-33.9492647304	-31.2926842428	-1.18535817314	-35.117524536	-24.2052819339	-33.6562083833	-26.7241625582	0.851572027268	-26.3443565917	-33.2854615686	-38.7704329735	-31.7396842428	-35.7086526761	0.224434234813	-39.3152192847	-0.213080822936	-38.824176547	-34.344558848	-36.0435611867	-11.7222338503	-31.9024097729	-28.679002678	0.542759910924	-37.2420910715	1.69218435018	3.64855130258	0.294543677064	-21.0111590771	-29.0366460535	-33.5080882598	-39.6973047602	-34.4970571224	-5.10710697259	-33.0199149906	-31.7451156253	-32.2871464455	-33.761032546	-8.90972654932	-10.723032895	-35.9163830453	-1.02960502309	-36.1125178607	-0.955418791769	-30.4391569562	-36.1510483338	-34.3435330481	-31.9171012076	-32.1227054994	-31.007272538	-34.2810294363	-33.4692647304
9	-31.8844998155	-32.5316815048	0.0	-31.1008249679	-22.8123306408	-15.1925669384	-30.8702431706	-29.4437872175	-33.1623602608	-27.0652633942	-35.6422639049	-11.8405299077	-36.4464794724	-15.6571183566	-34.3733886576	-34.8858381214	-35.9963815519	-6.21390285642	-31.8827614713	-12.6979055988	-28.8242675742	-30.3079576937	-27.4842768833	-21.4961401646	-33.5863815934	-26.7170916717	-36.4076851304	-29.3649585952	1.16564054483	0.738655342933	-19.2256235228	-22.7417185833	-36.2616275231	-14.116953353	-27.3408208291	-36.8902686689	-28.9437872175	0.25	-3.56060409323	-13.938314576	-25.8304551083	-30.5417942724	-28.6208208291	-24.1707972161	-35.4648851047	-36.3135102747	-35.2725193966	-24.9057394467	-32.2966991236	-36.5363815519	-37.0430514699	-34.4236110296	-36.5163815519	-36.0647165317	-22.3226163551	-27.8601725561	0.0	-13.8277533487	-24.9597869858	-31.961981916	-33.2231550766	-14.1870535139	-13.4746257187	-36.230713934	-30.1677873823	-36.0919175757	-14.0058926126	-0.033128108966	-29.7968711064	-31.9948482382	-24.1537155588	-2.87100472004	2.29085517958	-33.3940286107	-2.88718836397	-1.16565799614	-30.2723060927	-13.30528129	-13.8506882436	-25.6812439629	-28.9259548305	-29.0903427241	-33.7276462672	-35.3102923048	-36.0563815519	-28.5448921046	-1.05762707539	-36.4113157549	-22.1593782598	-36.4291123259	-24.5307017794	0.84360359459	-24.1174842951	-30.6677873823	-36.5574948444	-28.9098921046	-33.1193725888	0.210837478621	-36.5213864082	-0.103647990401	-36.014164721	-35.9957933166	-34.5791599062	-10.7209434181	-28.9388262639	-26.2388284256	0.493965587587	-34.5637423796	1.52262800207	3.26448097208	0.403079509599	-19.2171427609	-26.679341077	-35.0387344931	-37.0358297827	-31.8935799856	-4.66745378823	-36.851425012	-28.8933756444	-29.7460274783	-36.3125813551	-8.1313379423	-9.79877302818	-33.4365676576	-0.981922939721	-33.5279701232	-0.849393052551	-27.8611445735	-33.5885312089	-35.9385987194	-29.7694516382	-31.6398013273	-28.1357933435	-36.2028521402	-34.9763815519
10	-29.8642679299	-32.3525565393	0.0	-30.3566448156	-20.6409208883	-13.8068560907	-30.5589212425	-29.1080960305	-31.0988325434	-24.7049411935	-40.4375398903	-10.6968145641	-37.1262885119	-14.5933677481	-34.3554474846	-34.8289479692	-40.6595352391	-5.63162887316	-31.1287684555	-11.4496766174	-26.3811946274	-28.2411267877	-24.7138892123	-19.5863970788	-32.2294679932	-24.4701713404	-36.6361176715	-26.9111429631	1.03965425571	0.813579154191	-17.4980034809	-20.6462118199	-36.5238899274	-12.7863209686	-24.987959817	-37.7083016817	-28.7080960305	-0.2	-3.22942219345	-12.596998982	-23.5674842171	-29.9560646703	-26.267959817	-21.9557774957	-36.1683727572	-37.1127170934	-35.3692012412	-22.5883449832	-32.0097464545	-39.0073770996	-34.6479375261	-34.3821968786	-40.0334561694	-34.0387027597	-20.2482066026	-25.3138826118	0.0	-12.8900576174	-22.7883121168	-30.4489986478	-33.0605716665	-12.8669574104	-12.1673587745	-36.4922315435	-27.7002744448	-36.1435446753	-12.8175522805	-0.0479308511425	-27.2565331526	-30.9272668044	-21.9065730739	-2.62433617181	2.06549383335	-40.8457073322	-2.63112072158	-1.03881623084	-29.732370423	-12.0025386707	-12.5434426736	-23.2029357565	-26.4127918605	-26.1357961239	-33.5673767089	-35.3224501505	-37.5812980298	-25.8022263076	-0.929869685387	-36.5178881094	-20.1173018407	-37.4246996343	-22.3456691361	0.835649493769	-21.8955589231	-28.1002744448	-34.3751143485	-26.0852263076	-30.6085788622	0.197241134857	-34.0571722926	0.00580515419125	-33.5935838814	-39.9234794252	-32.965879582	-9.71930124706	-25.980319396	-23.8047207675	0.445171985999	-32.266407059	1.35307402543	2.88041600314	0.511635654191	-17.4265339553	-24.3149023055	-40.7516003554	-34.5843491149	-29.3544266535	-4.22798252248	-37.5919037291	-26.0467495797	-27.2407345361	-37.0755057764	-7.35325926506	-8.87488965697	-31.0446803347	-0.934258920682	-31.0266295985	-0.743373540989	-25.2862234592	-31.4028186478	-36.2677760554	-27.5891588227	-30.8040333101	-25.2693659402	-38.4953584949	-40.8856143089
