TIMEPOINT,N-C,S-N,C-S
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.666666666667,-0.333333333333,-0.333333333333
5,0.0,0.0,0.0
6,-1.01781781419e-07,2.03563562839e-07,-1.01781781419e-07
7,0.666666666667,-0.333333333333,-0.333333333333
8,0.0,0.0,0.0
9,0.666666666667,-0.333333333333,-0.333333333333
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,3.99999999937e-07,-7.99999999875e-07,3.99999999937e-07
14,0.0,0.0,0.0
15,-4.0,8.0,-4.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.666666666667,-0.333333333333,-0.333333333333
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
