TIMEPOINT,C,N,S
1,-0.00333333333333,0.0,-0.00666666666667
2,-0.00333333333333,0.0,-0.00666666666667
3,-0.00333333333333,0.0,-0.00666666666667
4,-0.00333333333333,0.0,-0.00666666666667
5,0.0,0.0,0.0
6,-0.00333333322667,0.0,-0.00666666645333
7,-0.00333333333333,0.0,-0.00666666666666
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,-0.00333333333333,0.0,-0.00666666666667
21,0.00333333333333,0.0,0.00666666666667
22,-0.00333333333333,0.0,-0.00666666666667
23,-0.00333333333333,0.0,-0.00666666666667
24,-0.00333333333333,0.0,-0.00666666666667
